char,trans,api,arabic,name
ⴰ,a,a,ا,ya
ⴱ,b,b,ب,yab
ⴲ,bh,ḇ,ٻ,yabh
ⴳ,g,ɡ,گ,yag
ⴴ,ghh,ḡ,ڲ,yaghh
ⴵ,dj,d͡ʒ,ج,yadj académique
ⴶ,dj,d͡ʒ,ج,yadj
ⴷ,d,d,د,yad
ⴸ,dh,ḏ,ذ,yadh
ⴹ,dd,ḍ,ض,yadd
ⴺ,ddh,ḏ̣,ظ,yaddh
ⴻ,è;ey,ɛ,,yè;yey
ⴼ,f,f,ف,yaf
ⴽ,k,k,ك,yak
ⴾ,k,k,ك,yak touareg
ⴿ,khh,ḵ,ڪ,yakhh
ⵀ,h;b,h;b,ب;ه,yah;yab touareg
ⵁ,h,h,ه,yah académique
ⵂ,h,h,ه,yah touareg
ⵃ,hh,ḥ,ح,yahh
ⵄ,ʿ,ʕ,ع,yaʿ
ⵅ,kh,x,خ,yakh
ⵆ,kh,x,خ,yakh touareg
ⵇ,q,q,ق,yaq
ⵈ,q,q,ق,yaq touareg
ⵉ,i,i,ئ,yi
ⵊ,j,ʒ,ج,yaj
ⵋ,j,ʒ,ج,yaj de l’Ahaggar
ⵌ,j,ʒ,ج,yaj touareg
ⵍ,l,l,ل,yal
ⵎ,m,m,م,yam
ⵏ,n,n,ن,yan
ⵐ,ny,ɲ,ني,yagn touareg
ⵑ,ng,ŋ,نڭ,yang touareg
ⵒ,p,p,پ,yap
ⵓ,u;w,u;w,ۉ;و,you;yaw touareg
ⵔ,r,r,ر,yar
ⵕ,rr,ṛ,ڕ,yarr
ⵖ,gh,ɣ,غ,yagh
ⵗ,gh,ɣ,غ,yagh touareg
ⵘ,gh;dj,ɣ;d͡ʒ,ج;غ,yagh de l’Aïr;yadj de l’Adrar
ⵙ,s,s,س,yas
ⵚ,ss,ṣ,ص,yass
ⵛ,sh,ʃ,ش,yach
ⵜ,t,t,ت,yat
ⵝ,th,ṯ,ث,yath
ⵞ,ch,t͡ʃ,تش,yatch
ⵟ,tt,ṭ,ط,yatt
ⵠ,v,v,ڤ,yav
ⵡ,w,w,و,yaw
ⵢ,y,j,ي,yay
ⵣ,z,z,ز,yaz
ⵤ,z,z,ز,yaz (Tawellemet);yaz harpon
ⵥ,zz,ẓ,‍ﮊ,yazz
ⵦ,é,e,,yé (APT Niger)
ⵧ,o,o,,yo (APT)
ⵯ,ʷ,ʷ,ۥ,lettre modificative de labialisation (tamatart)
⵰,,,,séparateur (tazarast)
⵿,,,,liant de consonnes
