Capital,Minuscule,Latin,Letter Name,IPA,supplement
𞤀,𞤢,a,a,a,0
𞤁,𞤣,d,da,d,0
𞤂,𞤤,l,la,l,0
𞤃,𞤥,m,ma,m,0
𞤄,𞤦,b,ba,b,0
𞤅,𞤧,s,sa,s,0
𞤆,𞤨,p,pa,p,0
𞤇,𞤩,ɓ/bh,bha,ɓ,0
𞤈,𞤪,r,ra,r/ɾ,0
𞤉,𞤫,e,è,e,0
𞤊,𞤬,f,fa,f,0
𞤋,𞤭,i,i,i,0
𞤌,𞤮,o,ö,ɔ,0
𞤍,𞤯,ɗ/dh,dha,ɗ,0
𞤎,𞤰,ƴ/yh,yha,ʔʲ,0
𞤏,𞤱,w,wâ,w,0
𞤐,𞤲,n,na,n,0
𞤑,𞤳,k,ka,k,0
𞤒,𞤴,y,ya,j,0
𞤓,𞤵,u,ou,u,0
𞤔,𞤶,j,dja,dʒ,0
𞤕,𞤷,c,tcha,tʃ,0
𞤖,𞤸,h,ha,h,0
𞤗,𞤹,ɠ/q,gha,q,0
𞤘,𞤺,g,ga,ɡ,0
𞤙,𞤻,ñ/ny,gna,ɲ,0
𞤚,𞤼,t,ta,t,0
𞤛,𞤽,ŋ/nh,nha,ŋ,0
𞤜,𞤾,v,va,v,1
𞤝,𞤿,x/kh,kha,x,1
𞤞,𞥀,ɡb,gbe,ɡ͡b,1
𞤟,𞥁,z,zal,z,1
𞤠,𞥂,kp,kpo,k͡p,1
𞤡,𞥃,sh,sha,ʃ,1
