char,name
᐀,Syllabe canadienne trait d’union
ᐁ,Syllabe canadienne é
ᐂ,Syllabe canadienne âï
ᐃ,Syllabe canadienne i
ᐄ,Syllabe canadienne î
ᐅ,Syllabe canadienne o
ᐆ,Syllabe canadienne ô
ᐇ,Syllabe canadienne ô cri-y
ᐈ,Syllabe canadienne é porteur
ᐉ,Syllabe canadienne i porteur
ᐊ,Syllabe canadienne a
ᐋ,Syllabe canadienne â
ᐌ,Syllabe canadienne oué
ᐍ,Syllabe canadienne oué cri des plaines
ᐎ,Syllabe canadienne oui
ᐏ,Syllabe canadienne oui cri des plaines
ᐐ,Syllabe canadienne ouî
ᐑ,Syllabe canadienne ouî cri des plaines
ᐒ,Syllabe canadienne ouo
ᐓ,Syllabe canadienne ouo cri des plaines
ᐔ,Syllabe canadienne ouô
ᐕ,Syllabe canadienne ouô cri des plaines
ᐖ,Syllabe canadienne ouô naskapi
ᐗ,Syllabe canadienne oua
ᐘ,Syllabe canadienne oua cri des plaines
ᐙ,Syllabe canadienne ouâ
ᐚ,Syllabe canadienne ouâ cri des plaines
ᐛ,Syllabe canadienne ouâ naskapi
ᐜ,Syllabe canadienne aï
ᐝ,Syllabe canadienne ou cri-y
ᐞ,Syllabe canadienne coup de glotte
ᐟ,Syllabe canadienne finale accent aigu
ᐠ,Syllabe canadienne finale accent grave
ᐡ,Syllabe canadienne finale demi-cercle inférieur
ᐢ,Syllabe canadienne finale demi-cercle supérieur
ᐣ,Syllabe canadienne finale demi-cercle à droite
ᐤ,Syllabe canadienne finale cercle
ᐥ,Syllabe canadienne finale double accent aigu
ᐦ,Syllabe canadienne finale doubles traits verticaux courts
ᐧ,Syllabe canadienne finale point médian
ᐨ,Syllabe canadienne finale trait horizontal court
ᐩ,Syllabe canadienne finale signe plus
ᐪ,Syllabe canadienne finale taquet vers le bas
ᐫ,Syllabe canadienne enne
ᐬ,Syllabe canadienne inne
ᐭ,Syllabe canadienne onne
ᐮ,Syllabe canadienne anne
ᐯ,Syllabe canadienne pé
ᐰ,Syllabe canadienne pâï
ᐱ,Syllabe canadienne pi
ᐲ,Syllabe canadienne pî
ᐳ,Syllabe canadienne po
ᐴ,Syllabe canadienne pô
ᐵ,Syllabe canadienne pô cri-y
ᐶ,Syllabe canadienne hé porteur
ᐷ,Syllabe canadienne hi porteur
ᐸ,Syllabe canadienne pa
ᐹ,Syllabe canadienne pâ
ᐺ,Syllabe canadienne poué
ᐻ,Syllabe canadienne poué cri des plaines
ᐼ,Syllabe canadienne poui
ᐽ,Syllabe canadienne poui cri des plaines
ᐾ,Syllabe canadienne pouî
ᐿ,Syllabe canadienne pouî cri des plaines
ᑀ,Syllabe canadienne pouo
ᑁ,Syllabe canadienne pouo cri des plaines
ᑂ,Syllabe canadienne pouô
ᑃ,Syllabe canadienne pouô cri des plaines
ᑄ,Syllabe canadienne poua
ᑅ,Syllabe canadienne poua cri des plaines
ᑆ,Syllabe canadienne pouâ
ᑇ,Syllabe canadienne pouâ cri des plaines
ᑈ,Syllabe canadienne pouâ cri-y
ᑉ,Syllabe canadienne p
ᑊ,Syllabe canadienne p cri des plaines
ᑋ,Syllabe canadienne h porteur
ᑌ,Syllabe canadienne té
ᑍ,Syllabe canadienne tâï
ᑎ,Syllabe canadienne ti
ᑏ,Syllabe canadienne tî
ᑐ,Syllabe canadienne to
ᑑ,Syllabe canadienne tô
ᑒ,Syllabe canadienne tô cri-y
ᑓ,Syllabe canadienne dé porteur
ᑔ,Syllabe canadienne di porteur
ᑕ,Syllabe canadienne ta
ᑖ,Syllabe canadienne tâ
ᑗ,Syllabe canadienne toué
ᑘ,Syllabe canadienne toué cri des plaines
ᑙ,Syllabe canadienne toui
ᑚ,Syllabe canadienne toui cri des plaines
ᑛ,Syllabe canadienne touî
ᑜ,Syllabe canadienne touî cri des plaines
ᑝ,Syllabe canadienne touo
ᑞ,Syllabe canadienne touo cri des plaines
ᑟ,Syllabe canadienne touô
ᑠ,Syllabe canadienne touô cri des plaines
ᑡ,Syllabe canadienne toua
ᑢ,Syllabe canadienne toua cri des plaines
ᑣ,Syllabe canadienne touâ
ᑤ,Syllabe canadienne touâ cri des plaines
ᑥ,Syllabe canadienne touâ naskapi
ᑦ,Syllabe canadienne t
ᑧ,Syllabe canadienne tté
ᑨ,Syllabe canadienne tti
ᑩ,Syllabe canadienne tto
ᑪ,Syllabe canadienne tta
ᑫ,Syllabe canadienne ké
ᑬ,Syllabe canadienne kâï
ᑭ,Syllabe canadienne ki
ᑮ,Syllabe canadienne kî
ᑯ,Syllabe canadienne ko
ᑰ,Syllabe canadienne kô
ᑱ,Syllabe canadienne kô cri-y
ᑲ,Syllabe canadienne ka
ᑳ,Syllabe canadienne kâ
ᑴ,Syllabe canadienne koué
ᑵ,Syllabe canadienne koué cri des plaines
ᑶ,Syllabe canadienne koui
ᑷ,Syllabe canadienne koui cri des plaines
ᑸ,Syllabe canadienne kouî
ᑹ,Syllabe canadienne kouî cri des plaines
ᑺ,Syllabe canadienne kouo
ᑻ,Syllabe canadienne kouo cri des plaines
ᑼ,Syllabe canadienne kouô
ᑽ,Syllabe canadienne kouô cri des plaines
ᑾ,Syllabe canadienne koua
ᑿ,Syllabe canadienne koua cri des plaines
ᒀ,Syllabe canadienne kouâ
ᒁ,Syllabe canadienne kouâ cri des plaines
ᒂ,Syllabe canadienne kouâ naskapi
ᒃ,Syllabe canadienne k
ᒄ,Syllabe canadienne kou
ᒅ,Syllabe canadienne kéh esclave du sud
ᒆ,Syllabe canadienne kih esclave du sud
ᒇ,Syllabe canadienne koh esclave du sud
ᒈ,Syllabe canadienne kah esclave du sud
ᒉ,Syllabe canadienne tché
ᒊ,Syllabe canadienne tchâï
ᒋ,Syllabe canadienne tchi
ᒌ,Syllabe canadienne tchî
ᒍ,Syllabe canadienne tcho
ᒎ,Syllabe canadienne tchô
ᒏ,Syllabe canadienne tchô cri-y
ᒐ,Syllabe canadienne tcha
ᒑ,Syllabe canadienne tchâ
ᒒ,Syllabe canadienne tchoué
ᒓ,Syllabe canadienne tchoué cri des plaines
ᒔ,Syllabe canadienne tchoui
ᒕ,Syllabe canadienne tchoui cri des plaines
ᒖ,Syllabe canadienne tchouî
ᒗ,Syllabe canadienne tchouî cri des plaines
ᒘ,Syllabe canadienne tchouo
ᒙ,Syllabe canadienne tchouo cri des plaines
ᒚ,Syllabe canadienne tchouô
ᒛ,Syllabe canadienne tchouô cri des plaines
ᒜ,Syllabe canadienne tchoua
ᒝ,Syllabe canadienne tchoua cri des plaines
ᒞ,Syllabe canadienne tchouâ
ᒟ,Syllabe canadienne tchouâ cri des plaines
ᒠ,Syllabe canadienne tchouâ naskapi
ᒡ,Syllabe canadienne tch
ᒢ,Syllabe canadienne th sayissi
ᒣ,Syllabe canadienne mé
ᒤ,Syllabe canadienne mâï
ᒥ,Syllabe canadienne mi
ᒦ,Syllabe canadienne mî
ᒧ,Syllabe canadienne mo
