letter,name,sound,index
𐔰,alt,a,première
𐔱,bet,b,deuxième
𐔲,gim,ɡ,troisième
𐔳,dat,d,quatrième
𐔴,eb,e,cinquième
𐔵,zarl,z,sixième
𐔶,eyn,eː,septième
𐔷,zhil,ʒ,huitième
𐔸,tas,t,neuvième
𐔹,cha,t͡ɕʼ,dixième
𐔺,yowd,j,onzième
𐔻,zha,ʑ,douzième
𐔼,irb,i,treizième
𐔽,sha,ˁ,quatorzième
𐔾,lan,l,quinzième
𐔿,inya,nʲ,seizième
𐕀,xeyn,x;χ,dix-septième
𐕁,dyan,dʲ,dix-huitième
𐕂,car,t͡sʼ,dix-neuvième
𐕃,jhox,d͡ʑ,vingtième
𐕄,kar,kʼ,vingt-et-unième
𐕅,lyit,lʲ,vingt-deuxième
𐕆,heyt,h,vingt-troisième
𐕇,qay,q,vingt-quatrième
𐕈,aor,ɒ,vingt-cinquième
𐕉,choy,t͡ɕ,vingt-sixième
𐕊,chi,t͡ʃʼ,vingt-septième
𐕋,cyay,t͡sʼ,vingt-huitième
𐕌,maq,m,vingt-neuvième
𐕍,qar,qʼ,trentième
𐕎,nowc,n,trente-et-unième
𐕏,dzyay,d͡zʲ,trente-deuxième
𐕐,shak,ʃ,trente-troisième
𐕑,jayn,d͡ʒ,trente-quatrième
𐕒,on,o,trente-cinquième
𐕓,tyay,tʲʼ,trente-sixième
𐕔,fam,f,trente-septième
𐕕,dzay,d͡z,trente-huitième
𐕖,chat,t͡ʃ,trente-neuvième
𐕗,pen,pʼ,quarantième
𐕘,gheys,ɣ,quarante-et-unième
𐕙,rat,r,quarante-deuxième
𐕚,seyk,s,quarante-troisième
𐕛,veyz,v,quarante-quatrième
𐕜,tuwr,tʼ,quarante-cinquième
𐕝,shoy,ɕ,quarante-sixième
𐕞,iwr,ə,quarante-septième
𐕟,cyaw,t͡sʼ,quarante-huitième
𐕠,cayn,t͡s,quarant-neuvième
𐕡,yayd,w,cinquantième
𐕢,piwr,p,cinquante-et-unième
𐕣,kiw,k,cinquante-deuxième
