letter,glagolitic name,name transcription,french name,pron,vowel,index,index2,value,cyrillic equiv,latin equiv
Ⰰ,ⰰⰸⱏ,azъ,aze,ɑ,1,1,1,1,А,A
Ⰱ,ⰱⱆⰽⱏⰹ,buky,bouki,b,0,2,1,2,Б,B
Ⰲ,ⰲⱑⰴⱑ,vědě,védi,ʋ,0,3,2,3,В,V
Ⰳ,ⰳⰾⰰⰳⱁⰾⰹ,glagoli,glagol',ɡ,0,4,3,4,Г,G
Ⰴ,ⰴⱁⰱⱃⱁ,dobro,dobro,d,0,5,4,5,Д,D
Ⰵ,ⰵⱄⱅⱏ,jestъ,iést',ɛ,1,6,2,6,Є;Е;Э,E
Ⰶ,ⰶⰹⰲⱑⱅⰵ,živěte,jivété,ʒ,0,7,5,7,Ж,Ž
Ⰷ,ⰷⱑⰾⱁ,dzělo,dzelo,d͡z,0,8,6,8,Ѕ,Dz
Ⰸ,ⰸⰵⰿⰾⰰ,zemlja,zemlia,z,0,9,7,9,З,Z
Ⰹ,ⰹⰶⰵ,iže,ijé,i;j,1,10,3,10,И;Й,I
Ⰺ,ⰹⰶⰵ,iže,ijé,i;j,1,10,3,10,И;Й,I
Ⰻ,ⰹ,i,i,i;j,1,11,4,20,І;І,I
Ⰼ,ⰼⰵⱃⰲⱐ,djervь,diérv',d͡ʑ,0,12,8,30,Ћ;Ђ,Dj
Ⰽ,ⰽⰰⰽⱁ,kako,kako,k,0,13,9,40,К,K
Ⰾ,ⰾⱓⰴⰹⰵ,ljudie,lioudié,l;ʎ,0,14,10,50,Л,L
Ⰿ,ⰿⱏⰹⱄⰾⰹⱅⰵ,myslite,myslété,m,0,15,11,60,М,M
Ⱀ,ⱀⰰⱋⱐ,našь,nach',n;ɲ,0,16,12,70,Н,N
Ⱁ,ⱁⱀⱏ,onъ,one,ɔ,1,17,5,80,О,O
Ⱂ,ⱂⱁⰽⱁⰹ,pokoi,pokoï,p,0,18,13,90,П,P
Ⱃ,ⱃⱐⱌⰹ,rьci,rtsy,r,0,19,14,100,Р,R
Ⱄ,ⱄⰾⱁⰲⱁ,slovo,slovo,s,0,20,15,200,С,S
Ⱅ,ⱅⰲⱃⱐⰴⱁ,tvrьdo,tverdo,t,0,21,16,300,Т,T
Ⱆ,ⱆⰽⱏ,ukъ,ouke,u,1,22,6,400,У,U
Ⱇ,ⱇⱃⱐⱅⱏ,frьtъ,ferte,f,0,23,17,500,Ф,F
Ⱈ,ⱈⱑⱃⱏ,xěrъ,khère,x,0,24,18,600,Х,X
Ⱉ,ⱉⱅⱏ,otъ,o-te,ɔ,1,25,7,700,Ѡ,O
Ⱋ,ⱋⱅⰰ,šta,chta,tʲ;ʃt,0,26,19,800,Щ,Št
Ⱌ,ⱌⰹ,ci,tsy,t͡ɕ,0,27,20,900,Ц,C;Ts
Ⱍ,ⱍⱃⱐⰲⱏ,črьvъ,tcherv',t͡ʃ,0,28,21,1000,Ч,Č
Ⱎ,ⱎⰰ,ša,cha,ʃ,0,29,22,,Ш,Š
Ⱏ,ⱏⱃⱏ,erъ,ière,ɯ,1,30,8,,Ъ,Je
ⰟⰉ,ⰵⰹⱃⱏⰹ,ery,ièry,ɨ,1,31,9,,Ы,Je
Ⱐ,ⱐⱃⱐ,erь,ièr',ə,1,32,10,,Ь,Ja
Ⱑ,ⱑⱅⱐ,jatь,iat',æ;jɑ,1,33,11,,Ѣ,Jo
Ⱖ,ⱖ,jo,io,jo,1,34,12,,Ё,Jo
Ⱓ,ⱓ,ju,iou,ju,1,35,13,,Ю,Ju
Ⱔ,ⱔⱄⱐ,ęsь,petit iousse,ɛ̃,1,36,14,,Ѧ;Я,En
Ⱗ,ⱗⱀⱄⱐ,jęsь,petit iousse yodisé,jɛ̃,1,37,15,,Ѩ,Jen
Ⱘ,ⱘⱀⱄⱐ,ǫsь,grand iousse,ɔ̃,1,38,16,,Ѫ,On
Ⱙ,ⱙⱀⱄⱐ,jǫsь,grand iousse yodisé,jɔ̃,1,39,17,,Ѭ,Jon
Ⱚ,ⱚⰹⱅⰰ,thita,fita,θ,0,40,23,,Ѳ,Th
Ⱛ,ⱛⰶⰹⱌⰰ,ižica,ijitsa,ʏ;i,1,41,18,,Ѵ,I
