letter,name
ᐁ,ai
ᐃ,i
ᐄ,ii
ᐅ,u
ᐆ,uu
ᐊ,a
ᐋ,aa
ᕼ,h
ᐯ,pai
ᐱ,pi
ᐲ,pii
ᐳ,pu
ᐴ,puu
ᐸ,pa
ᐹ,paa
ᑉ,-p
ᑌ,tai
ᑎ,ti
ᑏ,tii
ᑐ,tu
ᑑ,tuu
ᑕ,ta
ᑖ,taa
ᑦ,-t
ᑫ,kai
ᑭ,ki
ᑮ,kii
ᑯ,ku
ᑰ,kuu
ᑲ,ka
ᑳ,kaa
ᒃ,-k
ᕵ,hi
ᕶ,hii
ᕷ,hu
ᕸ,huu
ᕹ,ha
ᕺ,haa
ᕻ,-h
ᒉ,gai
ᒋ,gi
ᒌ,gii
ᒍ,gu
ᒎ,guu
ᒐ,ga
ᒑ,gaa
ᒡ,-g
ᒣ,mai
ᒥ,mi
ᒦ,mii
ᒧ,mu
ᒨ,muu
ᒪ,ma
ᒫ,maa
ᒻ,-m
ᓀ,nai
ᓂ,ni
ᓃ,nii
ᓄ,nu
ᓅ,nuu
ᓇ,na
ᓈ,naa
ᓐ,-n
ᓭ,sai
ᓯ,si
ᓰ,sii
ᓱ,su
ᓲ,suu
ᓴ,sa
ᓵ,saa
ᔅ,-s
ᓓ,lai
ᓕ,li
ᓖ,lii
ᓗ,lu
ᓘ,luu
ᓚ,la
ᓛ,laa
ᓪ,-l
ᔦ,jai
ᔨ,ji
ᔩ,jii
ᔪ,ju
ᔫ,juu
ᔭ,ja
ᔮ,jaa
ᔾ,-j
ᕓ,vai
ᕕ,vi
ᕖ,vii
ᕗ,vu
ᕘ,vuu
ᕙ,va
ᕚ,vaa
ᕝ,-v
ᕃ,rai
ᕆ,ri
ᕇ,rii
ᕈ,ru
ᕉ,ruu
ᕋ,ra
ᕌ,raa
ᕐ,-r
ᙯ,qai
ᕿ,qi
ᖀ,qii
ᖁ,qu
ᖂ,quu
ᖃ,qa
ᖄ,qaa
ᖅ,-q
ᙰ,ngai
ᖏ,ngi
ᖐ,ngii
ᖑ,ngu
ᖒ,nguu
ᖓ,nga
ᖔ,ngaa
ᖕ,-ng
ᙱ,nngi
ᙲ,nngii
ᙳ,nngu
ᙴ,nnguu
ᙵ,nnga
ᙶ,nngaa
ᖖ,-nng
ᖠ,łi
ᖡ,łi
ᖢ,łu
ᖣ,łuu
ᖤ,ła
ᖥ,łaa
ᖦ,-ł
ᖯ,b
