symbol,trans,type (v : voyelle ; c : consonne (cg : Grantha) ; s : syllabe ; sm : symbole ; d : diacritique),associated form
அ,a,v,
ஆ,ā,v,ா
இ,i,v,ி
ஈ,ī,v,ீ
உ,u,v,ு
ஊ,ū,v,ூ
எ,e,v,ெ
ஏ,ē,v,ே
ஐ,ai,v,ை
ஒ,o,v,ொ
ஓ,ō,v,ோ
ஔ,au,v,ௌ
ா,ā,d,ஆ
ி,i,d,இ
ீ,ī,d,ஈ
ு,u,d,உ
ூ,ū,d,ஊ
ெ,e,d,எ
ே,ē,d,ஏ
ை,ai,d,ஐ
ொ,o,d,ஒ
ோ,ō,d,ஓ
ௌ,au,d,ஔ
க்,k,c,
க,ka,s,
கா,kā,s,
கி,ki,s,
கீ,kī,s,
கு,ku,s,
கூ,kū,s,
கெ,ke,s,
கே,kē,s,
கை,kai,s,
கொ,ko,s,
கோ,kō,s,
கௌ,kau,s,
ங்,ṅ,c,
ங,ṅa,s,
ஙா,ṅā,s,
ஙி,ṅi,s,
ஙீ,ṅī,s,
ஙு,ṅu,s,
ஙூ,ṅū,s,
ஙெ,ṅe,s,
ஙே,ṅē,s,
ஙை,ṅai,s,
ஙொ,ṅo,s,
ஙோ,ṅō,s,
ஙௌ,ṅau,s,
ச்,c,c,
ச,ca,s,
சா,cā,s,
சி,ci,s,
சீ,cī,s,
சு,cu,s,
சூ,cū,s,
செ,ce,s,
சே,cē,s,
சை,cai,s,
சொ,co,s,
சோ,cō,s,
சௌ,cau,s,
ஞ்,ñ,c,
ஞ,ña,s,
ஞா,ñā,s,
ஞி,ñi,s,
ஞீ,ñī,s,
ஞு,ñu,s,
ஞூ,ñū,s,
ஞெ,ñe,s,
ஞே,ñē,s,
ஞை,ñai,s,
ஞொ,ño,s,
ஞோ,ñō,s,
ஞௌ,ñau,s,
ட்,ṭ,c,
ட,ṭa,s,
டா,ṭā,s,
டி,ṭi,s,
டீ,ṭī,s,
டு,ṭu,s,
டூ,ṭū,s,
டெ,ṭe,s,
டே,ṭē,s,
டை,ṭai,s,
டொ,ṭo,s,
டோ,ṭō,s,
டௌ,ṭau,s,
ண்,ṇ,c,
ண,ṇa,s,
ணா,ṇā,s,
ணி,ṇi,s,
ணீ,ṇī,s,
ணு,ṇu,s,
ணூ,ṇū,s,
ணெ,ṇe,s,
ணே,ṇē,s,
ணை,ṇai,s,
ணொ,ṇo,s,
ணோ,ṇō,s,
ணௌ,ṇau,s,
த்,t,c,
த,ta,s,
தா,tā,s,
தி,ti,s,
தீ,tī,s,
து,tu,s,
தூ,tū,s,
தெ,te,s,
தே,tē,s,
தை,tai,s,
தொ,to,s,
தோ,tō,s,
தௌ,tau,s,
ந்,n,c,
ந,na,s,
நா,nā,s,
நி,ni,s,
நீ,nī,s,
நு,nu,s,
நூ,nū,s,
நெ,ne,s,
நே,nē,s,
நை,nai,s,
நொ,no,s,
நோ,nō,s,
நௌ,nau,s,
ப்,p,c,
ப,pa,s,
பா,pā,s,
பி,pi,s,
பீ,pī,s,
பு,pu,s,
பூ,pū,s,
பெ,pe,s,
பே,pē,s,
பை,pai,s,
பொ,po,s,
போ,pō,s,
பௌ,pau,s,
ம்,m,c,
ம,ma,s,
மா,mā,s,
மி,mi,s,
மீ,mī,s,
மு,mu,s,
மூ,mū,s,
மெ,me,s,
மே,mē,s,
மை,mai,s,
மொ,mo,s,
மோ,mō,s,
மௌ,mau,s,
ய்,y,c,
ய,ya,s,
யா,yā,s,
யி,yi,s,
யீ,yī,s,
யு,yu,s,
யூ,yū,s,
யெ,ye,s,
யே,yē,s,
யை,yai,s,
யொ,yo,s,
யோ,yō,s,
யௌ,yau,s,
ர்,r,c,
ர,ra,s,
ரா,rā,s,
ரி,ri,s,
ரீ,rī,s,
ரு,ru,s,
ரூ,rū,s,
ரெ,re,s,
ரே,rē,s,
ரை,rai,s,
ரொ,ro,s,
ரோ,rō,s,
ரௌ,rau,s,
ல்,l,c,
ல,la,s,
லா,lā,s,
லி,li,s,
லீ,lī,s,
லு,lu,s,
லூ,lū,s,
லெ,le,s,
லே,lē,s,
லை,lai,s,
லொ,lo,s,
லோ,lō,s,
லௌ,lau,s,
வ்,v,c,
வ,va,s,
வா,vā,s,
வி,vi,s,
வீ,vī,s,
வு,vu,s,
வூ,vū,s,
வெ,ve,s,
வே,vē,s,
வை,vai,s,
வொ,vo,s,
வோ,vō,s,
வௌ,vau,s,
ழ்,ḻ,c,
ழ,ḻa,s,
ழா,ḻā,s,
ழி,ḻi,s,
ழீ,ḻī,s,
ழு,ḻu,s,
ழூ,ḻū,s,
ழெ,ḻe,s,
ழே,ḻē,s,
ழை,ḻai,s,
ழொ,ḻo,s,
ழோ,ḻō,s,
ழௌ,ḻau,s,
ள்,ḷ,c,
ள,ḷa,s,
ளா,ḷā,s,
ளி,ḷi,s,
ளீ,ḷī,s,
ளு,ḷu,s,
ளூ,ḷū,s,
ளெ,ḷe,s,
ளே,ḷē,s,
