letter,thaana name,name,trans,prons,type,index,note,etym
ހ,ހާ,HÂ,h,h,1,1,,
ށ,ށަވިޔަނި,CHAVIYANI,sh,ʂ,1,2,,
ނ,ނޫނު,NOÛNOU,n,n̪,1,3,,
ރ,ރާ,RÂ,r,r|ɾ,1,4,,
ބ,ބާ,BÂ,b,b,1,5,,
ޅ,ޅަވިޔަނި,LHAVIYANI,lh,ɭ,1,6,,
ކ,ކާފު,KÂFOU,k,k,1,7,,
އ,އަލިފު,ALIFOU,,,1,8,Cette lettre ne porte pas de son en elle-même mais permet de représenter une voyelle seule lorsque surmontée d’un diacritique.,
ވ,ވާވު,VÂVOU,v,ʋ,1,9,,
މ,މީމު,MÎMOU,m,m,1,10,,
ފ,ފާފު,FÂFOU,f,f,1,11,,
ދ,ދާލު,DHÂLOU,dh,d̪,1,12,,
ތ,ތާ,THÂ,th,t̪,1,13,,
ލ,ލާމު,LÂMOU,l,l,1,14,,
ގ,ގާފު,GÂFOU,g,g,1,15,,
ޏ,ޏަވިޔަނި,GNAVIYANI,gn,ɲ,1,16,,
ސ,ސީނު,SÎNOU,s,s̺,1,17,,
ޑ,ޑަވިޔަނި,DAVIYANI,d,ɖ,1,18,,
ޒ,ޒަވިޔަނި,ZAVIYANI,z,z̺,1,19,,
ޓ,ޓަވިޔަނި,TAVIYANI,t,ʈ,1,20,,
ޔ,ޔާ,YÂ,y,j,1,21,,
ޕ,ޕަވިޔަނި,PAVIYANI,p,p,1,22,,
ޖ,ޖަވިޔަނި,DJAVIYANI,j,ɟ|t͡ʃ,1,23,,
ޗ,ޗަވިޔަނި,TCHAVIYANI,ch,c|t͡ʃ,1,24,,
ޞ,ޞާދު,SÂDHOU,̤s|s,sˁ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ص
ޝ,ޝީނު,CHÎNOU,š|sh',ʃ|ɕ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ش
ޜ,ޜާ,ZÂ,ż|z,z|ʒ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe ou anglaise.,ز
ޚ,ޚާ,KHÂ,ẖ|kh,x,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,خ
ޙ,ޙާ,HHÂ,ḥ|h',ħ|h,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ح
ޛ,ޛާލު,THÂLOU,ḏ|dh',ð,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ذ
ޘ,ޘާ,TTÂ,ṯ|th',θ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ث
ޥ,ޥާވު,WÂVOU,w,w,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,و
ޤ,ޤާފު,QÂFOU,q,q,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ق
ޣ,ޣނު,GHAÏNOU,ġ|gh,ɣ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,غ
ޢ,ޢނު,AÏNOU,˂,ʕ|ʔ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ع
ޡ,ޡޮ,ZO,"̤z|dh""",zˁ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ظ
ޠ,ޠޮ,TO,"̤t|th""",tˁ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ط
ޟ,ޟާދު,DÂDHOU,"̤d|s""",dˁ,1,,Cette consonne a été ajoutée pour les mots d’origine arabe.,ض
ް,ސުކުނ,SOUKOUN,',ʔ,0,,,
ޯ,އޯބޯފިލި,ÔBÔFILI,oa|ō,ɔː|oː,0,,,
ޮ,އޮބޮފިލި,OBOFILI,o,ɔ|o,0,,,
ޭ,އޭބޭފިލި,ÊBÊFILI,ey|ē,eː,0,,,
ެ,އެބެފިލި,ÉBÉFILI,e,e,0,,,
ޫ,އޫބޫފިލި,OÛBOÛFILI,oo|ū,uː,0,,,
ު,އުބުފިލި,OUBOUFILI,u,u,0,,,
ީ,އީބީފިލި,ÎBÎFILI,ee|ī,iː,0,,,
ި,އިބިފިލި,IBIFILI,i,i,0,,,
ާ,އާބާފިލި,ÂBÂFILI,aa|ā,əː|aː,0,,,
ަ,އަބަފިލި,ABAFILI,a,ə|a,0,,,
ޱ,ޱާ,NÂ,ṇ,ɳ,1,,Cette consonne est utilisée dans le dialecte {{lien|addou|fr}}.,
