Range lower,Range upper,Name EN,Name FR,PDF URL,Unicode version,Year
0000,007F,Basic Latin,Commandes C0 et latin de base,https://web.archive.org/web/20190613202517/https://www.unicode.org/charts/PDF/U0000.pdf,12.1,2019
0080,00FF,C1 Controls and Latin-1 Supplement,Commandes C1 et supplément Latin-1,https://web.archive.org/web/20190613180628/https://www.unicode.org/charts/PDF/U0080.pdf,12.1,2019
0100,017F,Latin Extended-A,Latin étendu A,https://web.archive.org/web/20190613180630/https://www.unicode.org/charts/PDF/U0100.pdf,12.1,2019
0180,024F,Latin Extended-B,Latin étendu B,https://web.archive.org/web/20190613202523/https://www.unicode.org/charts/PDF/U0180.pdf,12.1,2019
0250,02AF,IPA Extensions,Alphabet phonétique international,https://web.archive.org/web/20190613202535/https://www.unicode.org/charts/PDF/U0250.pdf,12.1,2019
02B0,02FF,Spacing Modifier Letters,Lettres modificatives avec chasse,https://web.archive.org/web/20190613202602/https://www.unicode.org/charts/PDF/U02B0.pdf,12.1,2019
0300,036F,Combining Diacritical Marks,Diacritiques,https://web.archive.org/web/20190613180717/https://www.unicode.org/charts/PDF/U0300.pdf,12.1,2019
0370,03FF,Greek and Coptic,Grec et copte,https://web.archive.org/web/20190613202511/https://www.unicode.org/charts/PDF/U0370.pdf,12.1,2019
0400,04FF,Cyrillic,Cyrillique,https://web.archive.org/web/20190613202452/https://www.unicode.org/charts/PDF/U0400.pdf,12.1,2019
0500,052F,Cyrillic Supplement,Supplément cyrillique,https://web.archive.org/web/20190613202454/https://www.unicode.org/charts/PDF/U0500.pdf,12.1,2019
0530,058F,Armenian,Arménien,https://web.archive.org/web/20190613202445/https://www.unicode.org/charts/PDF/U0530.pdf,12.1,2019
0590,05FF,Hebrew,Hébreu,https://web.archive.org/web/20190613202717/https://www.unicode.org/charts/PDF/U0590.pdf,12.1,2019
0600,06FF,Arabic,Arabe,https://web.archive.org/web/20190613202654/https://www.unicode.org/charts/PDF/U0600.pdf,12.1,2019
0700,074F,Syriac,Syriaque,https://web.archive.org/web/20190613202734/https://www.unicode.org/charts/PDF/U0700.pdf,12.1,2019
0750,077F,Arabic Supplement,Supplément arabe,https://web.archive.org/web/20190613202656/https://www.unicode.org/charts/PDF/U0750.pdf,12.1,2019
0780,07BF,Thaana,Thâna,https://web.archive.org/web/20190613202859/https://www.unicode.org/charts/PDF/U0780.pdf,12.1,2019
07C0,07FF,NKo,N’Ko,https://web.archive.org/web/20190613202644/https://www.unicode.org/charts/PDF/U07C0.pdf,12.1,2019
0800,083F,Samaritan,Samaritain,https://web.archive.org/web/20190613202733/https://www.unicode.org/charts/PDF/U0800.pdf,12.1,2019
0840,085F,Mandaic,Mandéen,https://web.archive.org/web/20190613202718/https://www.unicode.org/charts/PDF/U0840.pdf,12.1,2019
0860,086F,Syriac Supplement,Supplément syriaque,https://web.archive.org/web/20190613202735/https://www.unicode.org/charts/PDF/U0860.pdf,12.1,2019
08A0,08FF,Arabic Extended-A,Arabe étendu A,https://web.archive.org/web/20190613202657/https://www.unicode.org/charts/PDF/U08A0.pdf,12.1,2019
0900,097F,Devanagari,Devanāgarī,https://web.archive.org/web/20190613202802/https://www.unicode.org/charts/PDF/U0900.pdf,12.1,2019
0980,09FF,Bengali,Bengali,https://web.archive.org/web/20190613202755/https://www.unicode.org/charts/PDF/U0980.pdf,12.1,2019
0A00,0A7F,Gurmukhi,Gourmoukhî,https://web.archive.org/web/20190613202811/https://www.unicode.org/charts/PDF/U0A00.pdf,12.1,2019
0A80,0AFF,Gujarati,Goudjarâtî,https://web.archive.org/web/20190613202807/https://www.unicode.org/charts/PDF/U0A80.pdf,12.1,2019
0B00,0B7F,Oriya,Oriya,https://web.archive.org/web/20190613202838/https://www.unicode.org/charts/PDF/U0B00.pdf,12.1,2019
0B80,0BFF,Tamil,Tamoul,https://web.archive.org/web/20190613202854/https://www.unicode.org/charts/PDF/U0B80.pdf,12.1,2019
0C00,0C7F,Telugu,Télougou,https://web.archive.org/web/20190613202857/https://www.unicode.org/charts/PDF/U0C00.pdf,12.1,2019
0C80,0CFF,Kannada,Kannara,https://web.archive.org/web/20190613202814/https://www.unicode.org/charts/PDF/U0C80.pdf,12.1,2019
0D00,0D7F,Malayalam,Malayalam,https://web.archive.org/web/20190613202824/https://www.unicode.org/charts/PDF/U0D00.pdf,12.1,2019
0D80,0DFF,Sinhala,Singhalais,https://web.archive.org/web/20190613202845/https://www.unicode.org/charts/PDF/U0D80.pdf,12.1,2019
0E00,0E7F,Thai,Thaï,https://web.archive.org/web/20190613202932/https://www.unicode.org/charts/PDF/U0E00.pdf,12.1,2019
0E80,0EFF,Lao,Laotien,https://web.archive.org/web/20190613202914/https://www.unicode.org/charts/PDF/U0E80.pdf,12.1,2019
0F00,0FFF,Tibetan,Tibétain,https://web.archive.org/web/20190613202750/https://www.unicode.org/charts/PDF/U0F00.pdf,12.1,2019
1000,109F,Myanmar,Birman,https://web.archive.org/web/20190613202916/https://www.unicode.org/charts/PDF/U1000.pdf,12.1,2019
10A0,10FF,Georgian,Géorgien,https://web.archive.org/web/20190613202503/https://www.unicode.org/charts/PDF/U10A0.pdf,12.1,2019
1100,11FF,Hangul Jamo,Jamos hangûls,https://web.archive.org/web/20190613203045/https://www.unicode.org/charts/PDF/U1100.pdf,12.1,2019
1200,137F,Ethiopic,Éthiopien,https://web.archive.org/web/20190613202632/https://www.unicode.org/charts/PDF/U1200.pdf,12.1,2019
1380,139F,Ethiopic Supplement,Supplément éthiopien,https://web.archive.org/web/20190613202634/https://www.unicode.org/charts/PDF/U1380.pdf,12.1,2019
13A0,13FF,Cherokee,Chéroki,https://web.archive.org/web/20190613203122/https://www.unicode.org/charts/PDF/U13A0.pdf,12.1,2019
1400,167F,Unified Canadian Aboriginal Syllabics,Syllabaire autochtone canadien unifié,https://web.archive.org/web/20190613203129/https://www.unicode.org/charts/PDF/U1400.pdf,12.1,2019
1680,169F,Ogham,Ogam,https://web.archive.org/web/20190613202550/https://www.unicode.org/charts/PDF/U1680.pdf,12.1,2019
16A0,16FF,Runic,Runique,https://web.archive.org/web/20190613202558/https://www.unicode.org/charts/PDF/U16A0.pdf,12.1,2019
1700,171F,Tagalog,Tagalog,https://web.archive.org/web/20190613202949/https://www.unicode.org/charts/PDF/U1700.pdf,12.1,2019
1720,173F,Hanunoo,Hanounóo,https://web.archive.org/web/20190613202940/https://www.unicode.org/charts/PDF/U1720.pdf,12.1,2019
1740,175F,Buhid,Bouhide,https://web.archive.org/web/20190613202938/https://www.unicode.org/charts/PDF/U1740.pdf,12.1,2019
1760,177F,Tagbanwa,Tagbanoua,https://web.archive.org/web/20190613202951/https://www.unicode.org/charts/PDF/U1760.pdf,12.1,2019
1780,17FF,Khmer,Khmer,https://web.archive.org/web/20190613202911/https://www.unicode.org/charts/PDF/U1780.pdf,12.1,2019
1800,18AF,Mongolian,Mongol,https://web.archive.org/web/20190613202739/https://www.unicode.org/charts/PDF/U1800.pdf,12.1,2019
18B0,18FF,Unified Canadian Aboriginal Syllabics Extended,Syllabaires autochtones canadiens étendus,https://web.archive.org/web/20190613203130/https://www.unicode.org/charts/PDF/U18B0.pdf,12.1,2019
1900,194F,Limbu,Limbou,https://web.archive.org/web/20190613202822/https://www.unicode.org/charts/PDF/U1900.pdf,12.1,2019
1950,197F,Tai Le,Taï-le,https://web.archive.org/web/20190613202928/https://www.unicode.org/charts/PDF/U1950.pdf,12.1,2019
1980,19DF,New Tai Lue,Nouveau taï-lue,https://web.archive.org/web/20190613202921/https://www.unicode.org/charts/PDF/U1980.pdf,12.1,2019
